y1,y2,d,c1,t1,treat,placebo
28,13.3,0,28,2.4,0.875468737,3.33220451
15.5,11.1,0,15.5,719,6.577861358,2.740840024
8.2,16.7,0,8.2,2106.667,7.652862357,2.104134154
3.4,12.6,0,3.4,24000,10.08580911,1.223775432
17.3,7.4,0,17.3,1715,7.44716836,2.850706502
15.2,5.5,0,15.2,3.6,1.280933845,2.721295428
32.9,32.1,0,32.9,521.5,6.256709274,3.493472658
11.1,27.2,0,11.1,1600,7.377758908,2.406945108
87.5,6.6,0,87.5,454,6.118097198,4.471638793
16.2,9.8,0,16.2,109.7,4.697749367,2.785011242
107.9,10.5,0,107.9,23.7,3.165475048,4.681204872
5.7,7.8,0,5.7,464,6.139884552,1.740466175
25.6,9.1,0,25.6,9810,9.191157553,3.242592351
31.2,12.3,0,31.2,255,5.541263545,3.440418095
21.6,12,0,21.6,58.7,4.072439727,3.072693315
55.6,42.1,0,55.6,225,5.416100402,4.018183201
8.8,5.9,0,8.8,90.1,4.500920165,2.174751721
6.5,9.2,0,6.5,50,3.912023005,1.871802177
22.1,7.3,0,22.1,5.6,1.722766598,3.095577609
14.4,6.8,0,14.4,4070,8.311398278,2.667228207
44.2,10.7,0,44.2,592,6.383506635,3.788724789
3.7,15.7,0,3.7,28.6,3.353406718,1.30833282
7.8,8,0,7.8,6160,8.725832057,2.054123734
8.9,6.8,0,8.9,1090,6.993932975,2.186051277
18,47.35,0,18,10.4,2.341805806,2.890371758
6.5,17.9,0,6.5,27.3,3.306886702,1.871802177
4.9,96.2,0,4.9,162,5.087596335,1.589235205
10.4,108.9,0,10.4,3560,8.177515824,2.341805806
5,16.6,0,5,14.7,2.687847494,1.609437912
5.3,9.5,0,5.3,83.3,4.422448549,1.667706821
6.5,179,0,6.5,336,5.81711116,1.871802177
6.9,12.1,0,6.9,55.7,4.019980147,1.931521412
8.2,35.6,0,8.2,1520,7.326465614,2.104134154
21.8,15,0,21.8,3.9,1.360976553,3.08190997
6.6,12.6,0,6.6,5.8,1.757857918,1.887069649
7.6,5.9,0,7.6,8.45,2.134166441,2.028148247
15.4,10.1,0,15.4,361,5.888877958,2.734367509
59.2,8.5,0,59.2,369,5.910796644,4.080921542
5.1,11.4,0,5.1,8230,9.015541294,1.62924054
10,54.65,0,10,39.3,3.671224519,2.302585093
5.3,9.7,0,5.3,43.5,3.772760938,1.667706821
32.6,11.2,0,32.6,361,5.888877958,3.484312288
4.6,35.7,0,4.6,12.8,2.549445171,1.526056303
6.9,22.5,0,6.9,18,2.890371758,1.931521412
4,21.2,0,4,9590,9.168476168,1.386294361
3.65,5.6,0,3.65,555,6.318968114,1.294727168
7.8,9.4,0,7.8,60.2,4.097672352,2.054123734
32.5,12,0,32.5,21.8,3.08190997,3.481240089
11.5,9.8,0,11.5,900,6.802394763,2.442347035
4,17.2,0,4,6.6,1.887069649,1.386294361
10.2,10.6,0,10.2,239,5.476463552,2.32238772
2.4,79.1,1,,3100,8.03915739,
719,31.4,1,,3275,8.094073148,
2106.667,15,1,,682,6.525029658,
24000,77.8,1,,85.4,4.447346101,
1715,25.7,1,,10290,9.238927829,
3.6,11.7,1,,770,6.646390515,
521.5,8.25,1,,247.6,5.511814541,
1600,14.95,1,,12320,9.418979237,
454,8.7,1,,113.1,4.728272383,
109.7,14.1,1,,1079,6.983789965,
23.7,123.9,1,,45.6,3.819907717,
464,12.1,1,,1630,7.396335294,
9810,99.1,1,,79.4,4.374498368,
255,18.6,1,,508,6.230481448,
58.7,10.5,1,,3190,8.067776196,
225,6.6,1,,542,6.295266001,
90.1,74,1,,1021,6.928537818,
50,43.9,1,,235,5.459585514,
5.6,45.7,1,,251,5.525452939,
4070,13,1,,3160,8.058327307,
592,7.3,1,,479,6.171700597,
28.6,8.6,1,,222,5.402677382,
6160,17.2,1,,15.7,2.753660712,
1090,15.4,1,,2540,7.83991936,
10.4,14.3,1,,11630,9.361343246,
27.3,93.1,1,,1810,7.501082124,
162,66.3,1,,6.9,1.931521412,
3560,26.7,1,,4.1,1.410986974,
14.7,32.4,1,,15.6,2.747270914,
83.3,9.9,1,,9820,9.192176401,
336,30.3,1,,1490,7.306531399,
55.7,11.2,1,,15.7,2.753660712,
1520,202,1,,45.8,3.824284091,
3.9,35.7,1,,7.8,2.054123734,
5.8,9.2,1,,12.8,2.549445171,
8.45,103.6,1,,100.5333,4.610489016,
361,21.4,1,,227,5.424950017,
369,8.1,1,,70.9,4.261270434,
8230,29.9,1,,2500,7.824046011,
39.3,17.5,1,,,,
43.5,30.8,1,,,,
361,57.3,1,,,,
12.8,6.5,1,,,,
18,33.8,1,,,,
9590,53.6,1,,,,
555,17.2,1,,,,
60.2,94.2,1,,,,
21.8,33.5,1,,,,
900,3.7,1,,,,
6.6,11.7,1,,,,
239,19.9,1,,,,
3100,38.7,1,,,,
3275,27.3,1,,,,
682,20.1,1,,,,
85.4,86.1,1,,,,
10290,844,1,,,,
770,36.9,1,,,,
247.6,6.9,1,,,,
12320,27.7,1,,,,
113.1,9.9,1,,,,
1079,38.6,1,,,,
45.6,142.6,1,,,,
1630,12.5,1,,,,
79.4,11.6,1,,,,
508,21.2,1,,,,
3190,13.2,1,,,,
542,19.2,1,,,,
1021,1024,1,,,,
235,14.1,1,,,,
251,34.8,1,,,,
3160,35.3,1,,,,
479,35,1,,,,
222,15.5,1,,,,
15.7,12.1,1,,,,
2540,31.6,1,,,,
11630,184.8,1,,,,
1810,24.8,1,,,,
6.9,10.4,1,,,,
4.1,34.5,1,,,,
15.6,19.4,1,,,,
9820,22.2,1,,,,
1490,53.9,1,,,,
15.7,15.4,1,,,,
45.8,17.3,1,,,,
7.8,36.8,1,,,,
12.8,49.8,1,,,,
100.5333,26.5667,1,,,,
227,9.7,1,,,,
70.9,19.2,1,,,,
2500,14.2,1,,,,
